FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2025,11.4,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2024,66.4,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2025,63.3,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2024,21.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2025,23.1,,
A,Annuale,ITC3,Liguria,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2024,83.6,,
A,Annuale,ITC3,Liguria,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2025,82.2,,
A,Annuale,ITC3,Liguria,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2024,42.4,,
A,Annuale,ITC3,Liguria,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2025,36.2,,
A,Annuale,ITC3,Liguria,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2024,70.1,,
A,Annuale,ITC3,Liguria,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2025,67.9,,
A,Annuale,ITC3,Liguria,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2024,6.1,,
A,Annuale,ITC3,Liguria,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2025,8.1,,
A,Annuale,ITC3,Liguria,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2024,2.5,,
A,Annuale,ITC3,Liguria,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2025,2.9,,
A,Annuale,ITC3,Liguria,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2024,3.0,,
A,Annuale,ITC3,Liguria,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2025,2.4,,
A,Annuale,ITC3,Liguria,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2024,11.5,,
A,Annuale,ITC3,Liguria,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2025,12.1,,
A,Annuale,ITC3,Liguria,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2024,62.4,,
